Id,Title,Senior,Company,Location,Salary,Currency
13,Senior Deep Learning Engineer,TRUE,Focal Systems,Remote,75 764  - 121 223  PLN,PLN
14,Principal Deep Learning Engineer,FALSE,Focal Systems,Remote,94 706  - 185 624  PLN,PLN
15,Remote Machine Learning Developer,FALSE,Iterators,Remote,13 440  - 18 500  PLN,PLN
16,Machine Learning Developer,FALSE,Mobica Limited,Remote,19 950  - 25 830  PLN,PLN
17,Machine Learning Developer,FALSE,Link Group,Remote,20 160  - 30 240  PLN,PLN
18,Scala Developer,FALSE,Link Group,Remote,13 440  - 23 520  PLN,PLN
19,Software Engineer in Machine Learning,FALSE,deepsense.ai Sp. z o.o.,Remote,16 000  - 24 000  PLN,PLN
20,Data Scientist,FALSE,deepsense.ai Sp. z o.o.,Remote,16 000  - 24 000  PLN,PLN
21,Senior Azure Data Engineer,TRUE,Larsen &amp; Toubro Infotech (LTI),"Warszawa, POL",26 000  - 32 000  PLN,PLN
22,Cloud Automation Engineer,FALSE,ERGO Technology &amp; Services S.A.,Remote,14 000  - 26 000  PLN,PLN
23,Project Manager,FALSE,LoopMe,"Kraków, POL",15 000  - 20 000  PLN,PLN
24,Senior Data Scientist,TRUE,hubQuest,Remote,29 000  - 37 000  PLN,PLN
25,Data Analyst,FALSE,LoopMe,"Kraków, POL",15 000  PLN,PLN
26,Machine Learning Engineer/Data Scientist,FALSE,LoopMe,Remote,16 000  - 18 000  PLN,PLN
27,MLOps Engineer,FALSE,hubQuest,Remote,23 000  - 30 000  PLN,PLN
28,Remote MLOps Engineer,FALSE,Link Group,Remote,23 520  - 28 560  PLN,PLN
29,Junior AI Developer,FALSE,Sport Vision Technology sp. z o.o. sp. k.,Remote,5 000  - 9 000  PLN,PLN
30,Azure Data Architect,FALSE,Larsen &amp; Toubro Infotech (LTI),"Warszawa, POL",28 000  - 38 000  PLN,PLN
31,Machine Learning Researcher,FALSE,Link Group,Remote,20 160  - 30 240  PLN,PLN
32,Machine Learning Engineer,FALSE,hubQuest,Remote,17 000  - 23 500  PLN,PLN
33,Big Data Engineer (AWS or Azure),FALSE,InData Labs,Remote,28 099  - 37 465  PLN,PLN
34,Senior Data Scientist,TRUE,hubQuest,Remote,25 000  - 34 000  PLN,PLN
35,Data Scientist,FALSE,AVENGA,Remote,23 520  - 28 560  PLN,PLN
36,Data Engineer,FALSE,Avanade Poland,Remote,15 120  - 26 880  PLN,PLN
37,Senior Data Scientist,TRUE,Objectivity,Remote,23 352  - 28 560  PLN,PLN
38,Data Architect,FALSE,Objectivity,Remote,24 000  - 30 400  PLN,PLN
39,Cloud Solutions Architect,FALSE,Grape Up,"Kraków, POL
 + 2",22 100  - 35 700  PLN,PLN
40,AI LAB,FALSE,Deloitte Advisory,Remote,4 200  PLN,PLN
41,Machine Learning Engineer,FALSE,RTB House,Remote,28 500  - 47 000  PLN,PLN
42,Machine Learning Researcher,FALSE,RTB House,Remote,28 500  - 47 000  PLN,PLN
43,Konsultant Modelowania Ryzyka,FALSE,Polskie Technologie,"Warszawa, POL",8 700  - 13 100  PLN,PLN
44,Data Engineer,FALSE,Unit8 SA,"Kraków, POL
 + 1",16 000  - 26 000  PLN,PLN
45,Computer Vision Engineer,FALSE,Femtonics Kft,"Budapest, HUN",9 530  - 17 869  PLN,PLN
